Protein1,Protein2,InteractionProbability
PO3F2_HUMAN,PQBP1_HUMAN,0.87
CEP55_HUMAN,PDC6I_HUMAN,0.9
NU153_HUMAN,IMB1_HUMAN,0.9
ARSA_HUMAN,ARSA_HUMAN,0.89
TINF2_HUMAN,TE2IP_HUMAN,0.9
EXOSX_HUMAN,EXOS8_HUMAN,0.87
VP37A_HUMAN,VPS28_HUMAN,0.9
MARK2_HUMAN,KI13B_HUMAN,0.87
H4_HUMAN,MCM2_HUMAN,0.89
SPYA_HUMAN,PEX5_HUMAN,0.89
DAXX_HUMAN,UBP7_HUMAN,0.89
SHH_HUMAN,HHIP_HUMAN,0.94
SNF5_HUMAN,SMRC2_HUMAN,0.94
TFB1M_HUMAN,TFAM_HUMAN,0.88
OTX2_HUMAN,FOXA2_HUMAN,0.86
SNUT1_HUMAN,UBL5_HUMAN,0.9
SC22B_HUMAN,STX5_HUMAN,0.98
TBP_HUMAN,TAF4_HUMAN,0.89
RRAGC_HUMAN,NOL8_HUMAN,0.87
EMC2_HUMAN,EMC8_HUMAN,0.89
TAU_HUMAN,TAU_HUMAN,0.9
TCAM2_HUMAN,TRAF6_HUMAN,0.86
VWF_HUMAN,VWF_HUMAN,0.9
RNPS1_HUMAN,RENT2_HUMAN,0.87
RPGR_HUMAN,PDE6D_HUMAN,0.9
TPRKB_HUMAN,PRPK_HUMAN,0.97
THOC2_HUMAN,THOC1_HUMAN,0.87
H4_HUMAN,TBL1X_HUMAN,0.88
TRAF6_HUMAN,MAVS_HUMAN,0.9
FADD_HUMAN,CASPA_HUMAN,0.9
PRGC1_HUMAN,PPARG_HUMAN,0.9
PIN1_HUMAN,MPIP3_HUMAN,0.89
PCM1_HUMAN,CCD14_HUMAN,0.87
SNX9_HUMAN,SNX9_HUMAN,0.9
LSM3_HUMAN,LSM2_HUMAN,0.99
ZO1_HUMAN,AFAD_HUMAN,0.88
RNF11_HUMAN,WWP1_HUMAN,0.86
CSN6_HUMAN,FBX44_HUMAN,0.86
PDC6I_HUMAN,PDC6I_HUMAN,0.87
HNF1A_HUMAN,PHS_HUMAN,0.9
PTN6_HUMAN,IL4RA_HUMAN,0.89
GPN1_HUMAN,GPN3_HUMAN,0.97
APC1_HUMAN,APC4_HUMAN,0.9
TES_HUMAN,ACL7A_HUMAN,0.9
RPB1_HUMAN,PIN1_HUMAN,0.91
THA_HUMAN,NCOR2_HUMAN,0.89
PIN1_HUMAN,CSK21_HUMAN,0.89
SFPQ_HUMAN,SNRPA_HUMAN,0.88
ADH7_HUMAN,ADH7_HUMAN,0.88
H4_HUMAN,MCM5_HUMAN,0.93
ANC2_HUMAN,UBE2C_HUMAN,0.89
MIS12_HUMAN,CENPC_HUMAN,0.87
BMR1A_HUMAN,GDF5_HUMAN,0.89
CBP_HUMAN,H4_HUMAN,0.9
UIMC1_HUMAN,BRE_HUMAN,0.88
BCR_HUMAN,ERCC3_HUMAN,0.9
ETFA_HUMAN,ETFB_HUMAN,0.95
VPS16_HUMAN,VPS8_HUMAN,0.88
FBLN2_HUMAN,NID1_HUMAN,0.93
MO2R1_HUMAN,OX2G_HUMAN,0.95
CTNB1_HUMAN,PSN1_HUMAN,0.97
SH3R1_HUMAN,AKT2_HUMAN,0.96
PLCB1_HUMAN,NHRF1_HUMAN,0.93
RPGF6_HUMAN,PTN13_HUMAN,0.9
MED9_HUMAN,MED31_HUMAN,0.86
PPP5_HUMAN,STIP1_HUMAN,0.94
IN80B_HUMAN,IN80E_HUMAN,0.87
AMFR2_HUMAN,AMFR2_HUMAN,0.9
SH2B1_HUMAN,INSR_HUMAN,0.9
MYPN_HUMAN,NEBU_HUMAN,0.88
MED23_HUMAN,ELF3_HUMAN,0.89
NUP62_HUMAN,XPO1_HUMAN,0.88
PMS1_HUMAN,MLH1_HUMAN,0.9
FBW1A_HUMAN,APC_HUMAN,0.88
TAB1_HUMAN,TRAF6_HUMAN,0.88
EPAS1_HUMAN,VHL_HUMAN,0.96
APC1_HUMAN,CDC16_HUMAN,0.88
FRIH_HUMAN,DAXX_HUMAN,0.87
BTG1_HUMAN,CNOT8_HUMAN,0.89
APC16_HUMAN,CDC23_HUMAN,0.89
TNNC1_HUMAN,TNNT2_HUMAN,0.88
EXOC2_HUMAN,EXOC5_HUMAN,0.89
NQO1_HUMAN,NQO1_HUMAN,0.89
DKC1_HUMAN,NHP2_HUMAN,0.89
LRRK2_HUMAN,LRRK2_HUMAN,0.9
KTN1_HUMAN,EF1D_HUMAN,0.89
DCAF8_HUMAN,DDB1_HUMAN,0.88
FBLN1_HUMAN,NID1_HUMAN,0.86
BAP1_HUMAN,HCFC1_HUMAN,0.9
AGO4_HUMAN,TNR6A_HUMAN,0.86
RBBP5_HUMAN,WDR5_HUMAN,0.99
SARM1_HUMAN,MYD88_HUMAN,0.86
BAF_HUMAN,LAP2A_HUMAN,0.88
H4_HUMAN,CENPA_HUMAN,0.9
MAVS_HUMAN,DDX3X_HUMAN,0.87
TMED2_HUMAN,TMEDA_HUMAN,0.97
NUP43_HUMAN,NUP85_HUMAN,0.87
NMUR1_HUMAN,NMU_HUMAN,0.93
APTX_HUMAN,XRCC4_HUMAN,0.88
GDS1_HUMAN,KIFA3_HUMAN,0.88
CA086_HUMAN,REV1_HUMAN,0.87
EXOC5_HUMAN,EXC6B_HUMAN,0.88
AURKA_HUMAN,TACC1_HUMAN,0.88
ARHG7_HUMAN,SHAN2_HUMAN,0.88
MED18_HUMAN,MED9_HUMAN,0.88
GATA4_HUMAN,SRF_HUMAN,0.88
ANM5_HUMAN,H4_HUMAN,0.89
BUB1B_HUMAN,CDC27_HUMAN,0.9
CBX5_HUMAN,H4_HUMAN,0.9
STK3_HUMAN,RASF5_HUMAN,0.9
MCM3_HUMAN,MCM2_HUMAN,0.99
ASF1A_HUMAN,H4_HUMAN,0.99
ZAP70_HUMAN,DBNL_HUMAN,0.89
DDB1_HUMAN,DCAF4_HUMAN,0.88
SOSB1_HUMAN,SOSSC_HUMAN,0.88
PAI1_HUMAN,A1AG1_HUMAN,0.9
GSTK1_HUMAN,CYC_HUMAN,0.86
PNKP_HUMAN,DNLI4_HUMAN,0.86
PSMD2_HUMAN,PSMD2_HUMAN,0.86
CD151_HUMAN,ITA3_HUMAN,0.89
SKA2_HUMAN,SKA3_HUMAN,0.89
CCND1_HUMAN,BRCA1_HUMAN,0.89
NELFD_HUMAN,NELFA_HUMAN,0.9
ARRB1_HUMAN,ZRAB2_HUMAN,0.88
WASP_HUMAN,SNX9_HUMAN,0.87
ETFA_HUMAN,LYRM5_HUMAN,0.87
LSM3_HUMAN,LSM1_HUMAN,0.93
ZWINT_HUMAN,CASC5_HUMAN,0.89
TAF12_HUMAN,TAF6_HUMAN,0.96
PCNA_HUMAN,ERCC5_HUMAN,0.89
I10R1_HUMAN,IL10_HUMAN,0.9
GEMI5_HUMAN,SMD1_HUMAN,0.88
NU107_HUMAN,NUP98_HUMAN,0.94
FAK1_HUMAN,DCC_HUMAN,0.96
ARHG7_HUMAN,SHAN1_HUMAN,0.88
TAF1D_HUMAN,TAF1C_HUMAN,0.89
OS9_HUMAN,ENPL_HUMAN,0.89
EIF3E_HUMAN,EIF3K_HUMAN,0.95
SP1_HUMAN,NFKB1_HUMAN,0.88
PGS1_HUMAN,TGFB1_HUMAN,0.86
DAB1_HUMAN,APLP1_HUMAN,0.86
JIP3_HUMAN,MP2K7_HUMAN,0.88
TRADD_HUMAN,TRADD_HUMAN,0.9
MCL1_HUMAN,MCL1_HUMAN,0.88
HDAC5_HUMAN,MEF2D_HUMAN,0.9
UBXN1_HUMAN,PLAP_HUMAN,0.87
RRP1B_HUMAN,NUCL_HUMAN,0.89
ESPL1_HUMAN,CCNB1_HUMAN,0.86
RFC5_HUMAN,PCNA_HUMAN,0.96
FSHB_HUMAN,GLHA_HUMAN,0.89
CDN1C_HUMAN,PCNA_HUMAN,0.89
ZRAN1_HUMAN,TRAF6_HUMAN,0.87
PIN1_HUMAN,TAU_HUMAN,0.89
PAAF1_HUMAN,PRS6A_HUMAN,0.93
RTN3_HUMAN,RTN4_HUMAN,0.88
FBLN4_HUMAN,LYOX_HUMAN,0.88
REV1_HUMAN,POLK_HUMAN,0.93
MED29_HUMAN,MED1_HUMAN,0.9
CAF1B_HUMAN,CBX5_HUMAN,0.89
GAR1_HUMAN,SMN_HUMAN,0.9
PLCG1_HUMAN,JAK2_HUMAN,0.91
FR1OP_HUMAN,CEP19_HUMAN,0.88
RASA1_HUMAN,CAV2_HUMAN,0.88
ILK_HUMAN,TCPQ_HUMAN,0.87
GNL3_HUMAN,MDM2_HUMAN,0.9
ATM_HUMAN,PRKDC_HUMAN,0.86
KAT5_HUMAN,ANDR_HUMAN,0.89
NFYB_HUMAN,NFYA_HUMAN,0.9
SQSTM_HUMAN,NEMO_HUMAN,0.87
HDAC2_HUMAN,ZMYM3_HUMAN,0.86
S22A4_HUMAN,NHRF3_HUMAN,0.87
H4_HUMAN,PHF20_HUMAN,0.87
BST2_HUMAN,BST2_HUMAN,0.9
SMN_HUMAN,RUXF_HUMAN,0.89
CDK19_HUMAN,MED12_HUMAN,0.89
PPR18_HUMAN,PP1A_HUMAN,0.88
FUBP2_HUMAN,HNRH1_HUMAN,0.88
TNR9_HUMAN,TRAF2_HUMAN,0.96
UBP11_HUMAN,UBP7_HUMAN,0.89
PHAX_HUMAN,NCBP1_HUMAN,0.86
CXL13_HUMAN,CXCR3_HUMAN,0.86
ARL6_HUMAN,BBS1_HUMAN,0.89
HUS1_HUMAN,RAD1_HUMAN,0.97
SUZ12_HUMAN,MEP50_HUMAN,0.88
MSL1_HUMAN,MSL2_HUMAN,0.87
IPO7_HUMAN,IMB1_HUMAN,0.96
TAF1B_HUMAN,TBP_HUMAN,0.96
NUMB_HUMAN,AP2A1_HUMAN,0.9
ASF1A_HUMAN,H4_HUMAN,0.99
SYIC_HUMAN,SYEP_HUMAN,0.9
LYRIC_HUMAN,SND1_HUMAN,0.87
NCOA6_HUMAN,WDR5_HUMAN,0.87
DAXX_HUMAN,H4_HUMAN,0.9
ANDR_HUMAN,MAGAB_HUMAN,0.9
ZWINT_HUMAN,BUB1_HUMAN,0.86
ZRAN1_HUMAN,SLMAP_HUMAN,0.86
OFD1_HUMAN,C2CD3_HUMAN,0.87
SF01_HUMAN,U2AF2_HUMAN,0.9
PA2G4_HUMAN,ANDR_HUMAN,0.9
STX18_HUMAN,SCFD1_HUMAN,0.87
EPHB2_HUMAN,EFNB2_HUMAN,0.95
BAP1_HUMAN,UBE2O_HUMAN,0.89
CBX8_HUMAN,RING1_HUMAN,0.97
CSN1_HUMAN,CSN5_HUMAN,0.97
MED10_HUMAN,MED10_HUMAN,0.87
PCGF5_HUMAN,RING1_HUMAN,0.89
CENPF_HUMAN,NDEL1_HUMAN,0.86
FBW1A_HUMAN,UBP47_HUMAN,0.88
SUMO3_HUMAN,SUMO3_HUMAN,0.94
SUPT3_HUMAN,SF3B3_HUMAN,0.86
MED30_HUMAN,MED6_HUMAN,0.89
GNA1_HUMAN,GNA1_HUMAN,0.95
NU107_HUMAN,NU160_HUMAN,0.89
NCOR1_HUMAN,PML_HUMAN,0.9
CCNA1_HUMAN,PRCA1_HUMAN,0.88
ANM5_HUMAN,MEP50_HUMAN,0.9
ULK1_HUMAN,ATG13_HUMAN,0.89
EIF3F_HUMAN,EIF3I_HUMAN,0.89
PSD10_HUMAN,PRS4_HUMAN,0.96
MARK2_HUMAN,UTRO_HUMAN,0.87
BL1S3_HUMAN,BL1S1_HUMAN,0.96
ZNHI1_HUMAN,VPS72_HUMAN,0.87
RASF7_HUMAN,SNP29_HUMAN,0.87
SRP14_HUMAN,SRP09_HUMAN,0.9
WASL_HUMAN,SRC8_HUMAN,0.88
RRAGC_HUMAN,LTOR3_HUMAN,0.87
NCK2_HUMAN,PGFRB_HUMAN,0.9
HDAC5_HUMAN,1433E_HUMAN,0.9
PCGF1_HUMAN,UBP7_HUMAN,0.87
NTF2_HUMAN,RAN_HUMAN,0.97
DPOLB_HUMAN,PNKP_HUMAN,0.87
CTNA1_HUMAN,CADH3_HUMAN,0.86
TNF18_HUMAN,TNF18_HUMAN,0.88
UBC9_HUMAN,CBP_HUMAN,0.88
OTUB1_HUMAN,PCNA_HUMAN,0.86
PHOCN_HUMAN,SIKE1_HUMAN,0.87
SYK_HUMAN,SYK_HUMAN,0.96
POLH_HUMAN,RAD18_HUMAN,0.89
IL15_HUMAN,IL2RB_HUMAN,0.9
KPRA_HUMAN,PRPS2_HUMAN,0.96
STA5A_HUMAN,ESR1_HUMAN,0.88
ING3_HUMAN,EPC1_HUMAN,0.89
SFI1_HUMAN,CETN2_HUMAN,0.9
HUS1_HUMAN,PCNA_HUMAN,0.86
WRN_HUMAN,TERF2_HUMAN,0.89
HAP1_HUMAN,HD_HUMAN,0.99
ZHX2_HUMAN,ZHX1_HUMAN,0.94
CASP9_HUMAN,CASP9_HUMAN,0.89
MARK2_HUMAN,FUCO_HUMAN,0.86
MERL_HUMAN,HGS_HUMAN,0.9
MED26_HUMAN,RPB11_HUMAN,0.86
RL5_HUMAN,CSK21_HUMAN,0.86
UBP14_HUMAN,PSD11_HUMAN,0.93
PRKN2_HUMAN,CSKP_HUMAN,0.95
AKP8L_HUMAN,DHX9_HUMAN,0.88
STRAP_HUMAN,TGFR2_HUMAN,0.87
RL10_HUMAN,RS2_HUMAN,0.89
MED19_HUMAN,RPAB2_HUMAN,0.86
I20RA_HUMAN,IL20_HUMAN,0.9
ASC_HUMAN,CASP1_HUMAN,0.9
IKBA_HUMAN,ELP1_HUMAN,0.88
MRGBP_HUMAN,ACL6A_HUMAN,0.88
RING1_HUMAN,UBP7_HUMAN,0.87
LSM4_HUMAN,LSM1_HUMAN,0.99
ASH2L_HUMAN,DPY30_HUMAN,0.9
RPB1_HUMAN,BRCA1_HUMAN,0.88
CENPA_HUMAN,NPM_HUMAN,0.89
CFAH_HUMAN,CO3_HUMAN,0.9
AMOT_HUMAN,BAG3_HUMAN,0.86
TAF5_HUMAN,TAF7_HUMAN,0.92
H4_HUMAN,MCM6_HUMAN,0.88
PAAF1_HUMAN,PSD10_HUMAN,0.95
RAD18_HUMAN,PCNA_HUMAN,0.87
CSK21_HUMAN,SSRP1_HUMAN,0.95
NFKB1_HUMAN,STAT3_HUMAN,0.9
GLE1_HUMAN,EIF3F_HUMAN,0.88
COPB_HUMAN,COPG1_HUMAN,0.88
PHC2_HUMAN,MCRS1_HUMAN,0.87
UVRAG_HUMAN,PK3C3_HUMAN,0.88
ZWINT_HUMAN,SPC24_HUMAN,0.87
RANB9_HUMAN,YPEL5_HUMAN,0.86
MYC_HUMAN,SKP2_HUMAN,0.89
PKP2_HUMAN,DESP_HUMAN,0.87
TFF1_HUMAN,TFF1_HUMAN,0.86
RPB1_HUMAN,TCEA1_HUMAN,0.97
PDCD4_HUMAN,RL5_HUMAN,0.87
GSTP1_HUMAN,TRAF2_HUMAN,0.89
UBP13_HUMAN,PTEN_HUMAN,0.87
REQU_HUMAN,RELB_HUMAN,0.88
TNR1A_HUMAN,JAK2_HUMAN,0.88
FXR2_HUMAN,LCMT1_HUMAN,0.87
TRRAP_HUMAN,MYC_HUMAN,0.9
CSN5_HUMAN,SMAD4_HUMAN,0.9
FCGRN_HUMAN,ALBU_HUMAN,0.88
ZBT16_HUMAN,HDAC6_HUMAN,0.88
PKHO1_HUMAN,SMUF1_HUMAN,0.9
ANDR_HUMAN,NCOR2_HUMAN,0.9
RBBP4_HUMAN,FOG1_HUMAN,0.86
STRAP_HUMAN,SMN_HUMAN,0.88
BAG1_HUMAN,RB_HUMAN,0.87
CSN6_HUMAN,DDA1_HUMAN,0.87
MYC_HUMAN,CBP_HUMAN,0.86
NCOA1_HUMAN,ANDR_HUMAN,0.9
CSN6_HUMAN,VPRBP_HUMAN,0.87
NPY1R_HUMAN,NPY_HUMAN,0.89
ENY2_HUMAN,UBP22_HUMAN,0.89
AMOT_HUMAN,DYL2_HUMAN,0.89
PNRC2_HUMAN,DCP1A_HUMAN,0.9
REL_HUMAN,TNIP2_HUMAN,0.89
MK06_HUMAN,BAG6_HUMAN,0.86
HDAC2_HUMAN,BRCA1_HUMAN,0.89
PSB7_HUMAN,PSA4_HUMAN,0.89
LCA5_HUMAN,IFT27_HUMAN,0.86
PP1A_HUMAN,PPR3C_HUMAN,0.91
CIR1A_HUMAN,UTP15_HUMAN,0.92
UBP15_HUMAN,BRE1B_HUMAN,0.87
MED15_HUMAN,SRBP1_HUMAN,0.9
DDX17_HUMAN,DDX17_HUMAN,0.88
SIAH2_HUMAN,PEG3_HUMAN,0.86
TOPB1_HUMAN,TOPB1_HUMAN,0.88
TRI27_HUMAN,TRI29_HUMAN,0.86
COF1_HUMAN,CAP1_HUMAN,0.89
AAKG2_HUMAN,AAPK1_HUMAN,0.94
IQCB1_HUMAN,EXOC4_HUMAN,0.86
PMS2_HUMAN,FANCJ_HUMAN,0.89
NU155_HUMAN,GLE1_HUMAN,0.89
AP1B1_HUMAN,AMPH_HUMAN,0.87
THOC1_HUMAN,CHTOP_HUMAN,0.86
ERBB3_HUMAN,PK3CA_HUMAN,0.87
TGFB3_HUMAN,TGFR2_HUMAN,0.9
APC4_HUMAN,APC10_HUMAN,0.89
PHC2_HUMAN,CBX4_HUMAN,0.87
GEMI4_HUMAN,DDX20_HUMAN,0.9
LNX1_HUMAN,NUMB_HUMAN,0.97
ZMY11_HUMAN,TRAF6_HUMAN,0.86
AQR_HUMAN,ZN830_HUMAN,0.9
TAF1B_HUMAN,TAF1A_HUMAN,0.96
HGS_HUMAN,STAM1_HUMAN,0.97
YAP1_HUMAN,TEAD3_HUMAN,0.88
PDIP2_HUMAN,PCNA_HUMAN,0.89
ANC2_HUMAN,APC10_HUMAN,0.89
HIPK3_HUMAN,FADD_HUMAN,0.9
MAX_HUMAN,MAX_HUMAN,0.97
DDB1_HUMAN,DCAF5_HUMAN,0.88
PPLA_HUMAN,AT2A2_HUMAN,0.9
EGLN_HUMAN,GDF2_HUMAN,0.86
LIFR_HUMAN,CNTFR_HUMAN,0.89
HOOK2_HUMAN,CCD33_HUMAN,0.87
NFKB1_HUMAN,IKBA_HUMAN,0.97
MED28_HUMAN,MED6_HUMAN,0.94
IKBA_HUMAN,IKBA_HUMAN,0.91
NSE4A_HUMAN,NSE1_HUMAN,0.88
ATS13_HUMAN,VWF_HUMAN,0.89
NUCL_HUMAN,NUCL_HUMAN,0.87
DDX20_HUMAN,SMN_HUMAN,0.97
TBK1_HUMAN,TBKB1_HUMAN,0.96
PALB2_HUMAN,KEAP1_HUMAN,0.86
WRN_HUMAN,PRKDC_HUMAN,0.88
NKX21_HUMAN,PAX8_HUMAN,0.95
NC2B_HUMAN,TBP_HUMAN,0.87
FGFR1_HUMAN,FGF2_HUMAN,0.9
STRN3_HUMAN,TCPE_HUMAN,0.87
FBX46_HUMAN,SKP1_HUMAN,0.9
RELB_HUMAN,NFKB2_HUMAN,0.9
BRCA2_HUMAN,BRCA1_HUMAN,0.9
UTRO_HUMAN,UTRO_HUMAN,0.88
DMAP1_HUMAN,YETS4_HUMAN,0.89
NR1H4_HUMAN,NCOA1_HUMAN,0.9
WWTR1_HUMAN,1433E_HUMAN,0.88
MAX_HUMAN,MSH2_HUMAN,0.9
MED29_HUMAN,MED22_HUMAN,0.87
TNR18_HUMAN,TRAF2_HUMAN,0.88
HCFC1_HUMAN,WDR5_HUMAN,0.89
FBW1A_HUMAN,IKBA_HUMAN,0.9
VPS39_HUMAN,VPS39_HUMAN,0.87
MK10_HUMAN,HAX1_HUMAN,0.86
ATF6A_HUMAN,TYY1_HUMAN,0.88
TAF5_HUMAN,TAF9_HUMAN,0.94
CO6_HUMAN,CO5_HUMAN,0.86
SLX4_HUMAN,ERCC1_HUMAN,0.89
STRN3_HUMAN,SLMAP_HUMAN,0.87
C1QBP_HUMAN,KPCD_HUMAN,0.89
KAD6_HUMAN,KAT2A_HUMAN,0.87
H4_HUMAN,PHF20_HUMAN,0.87
ANKR1_HUMAN,TITIN_HUMAN,0.88
KLH13_HUMAN,KLH22_HUMAN,0.87
CK5P3_HUMAN,UFC1_HUMAN,0.86
PX11B_HUMAN,PEX19_HUMAN,0.9
MUTA_HUMAN,MUTA_HUMAN,0.86
AMOT_HUMAN,AMOT_HUMAN,0.87
TRAF4_HUMAN,NCF1_HUMAN,0.87
PARP1_HUMAN,DNLI3_HUMAN,0.88
SLAF5_HUMAN,SLAF5_HUMAN,0.9
CPSF5_HUMAN,CPSF6_HUMAN,0.9
DCAF8_HUMAN,DDB1_HUMAN,0.88
SAP30_HUMAN,FOXK1_HUMAN,0.86
REV1_HUMAN,MD2L2_HUMAN,0.97
GPAA1_HUMAN,PIGS_HUMAN,0.86
ILK_HUMAN,TCPZ_HUMAN,0.87
CYBP_HUMAN,SKP1_HUMAN,0.9
PRP4B_HUMAN,PININ_HUMAN,0.89
PEX13_HUMAN,PEX5_HUMAN,0.89
CHM4B_HUMAN,PTN23_HUMAN,0.88
CSF2R_HUMAN,CSF2_HUMAN,0.9
NCOR2_HUMAN,SIN3A_HUMAN,0.88
FBXW7_HUMAN,SKP1_HUMAN,0.99
EXOS5_HUMAN,EXOSX_HUMAN,0.94
TPP1_HUMAN,POTE1_HUMAN,0.91
RAD17_HUMAN,RFC3_HUMAN,0.89
NLK_HUMAN,KPYM_HUMAN,0.87
UBN1_HUMAN,ASF1A_HUMAN,0.87
ELYS_HUMAN,NUP98_HUMAN,0.86
IRF7_HUMAN,IRF3_HUMAN,0.88
IKBA_HUMAN,SKP1_HUMAN,0.89
PARVA_HUMAN,ILK_HUMAN,0.99
SMD2_HUMAN,RUXE_HUMAN,0.92
MED1_HUMAN,VDR_HUMAN,0.9
PNKP_HUMAN,XRCC1_HUMAN,0.9
SOCS3_HUMAN,LEPR_HUMAN,0.94
ATPA_HUMAN,ATP5I_HUMAN,0.88
MED9_HUMAN,MED24_HUMAN,0.86
DNM3A_HUMAN,RB_HUMAN,0.87
CCNG1_HUMAN,PTPA_HUMAN,0.87
TSC2_HUMAN,CCND1_HUMAN,0.86
CHAP1_HUMAN,MD2L2_HUMAN,0.89
ZIC3_HUMAN,GLI3_HUMAN,0.92
FTM_HUMAN,MPRIP_HUMAN,0.86
DBLOH_HUMAN,BIRC5_HUMAN,0.9
ANM2_HUMAN,ESR1_HUMAN,0.89
CRYAA_HUMAN,CRYAA_HUMAN,0.99
TPA_HUMAN,NEUS_HUMAN,0.89
DDB1_HUMAN,DCA12_HUMAN,0.88
TRAF6_HUMAN,TNR16_HUMAN,0.86
H4_HUMAN,RBBP4_HUMAN,0.94
CSK2B_HUMAN,CSK21_HUMAN,1.0
STON2_HUMAN,SYT1_HUMAN,0.87
RL6_HUMAN,NPM_HUMAN,0.87
PP1A_HUMAN,RPC1_HUMAN,0.86
CCL19_HUMAN,CCR7_HUMAN,0.92
DAB2_HUMAN,TGFR2_HUMAN,0.87
ZMYM2_HUMAN,ZMYM4_HUMAN,0.86
PHLP1_HUMAN,UBP1_HUMAN,0.88
STAG1_HUMAN,SMC3_HUMAN,0.89
FANCF_HUMAN,FANCC_HUMAN,0.86
GAK_HUMAN,LRRK2_HUMAN,0.89
HDAC2_HUMAN,RB_HUMAN,0.89
DCAM_HUMAN,DCAM_HUMAN,0.89
MED26_HUMAN,MED6_HUMAN,0.86
UBP7_HUMAN,HUWE1_HUMAN,0.88
